season,year,detector,species,site,date,recording_start,recording_length,detection_time,real_detection_time,real_detection_time,rounded_to_half_hour,duplicate,sunset,civil_dusk,nautical_dusk,astronomical_dusk,astronomical_dawn,nautical_dawn,civil_dawn,sunrise,moon_altitude,moon_illumination
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:06:50,21:12:49,09/02/20 21:12:49,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.6,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:06:53,21:12:53,09/02/20 21:12:53,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.6,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:06:59,21:12:59,09/02/20 21:12:59,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:07:01,21:13:01,09/02/20 21:13:01,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:07:04,21:13:04,09/02/20 21:13:04,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:07:10,21:13:09,09/02/20 21:13:09,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:07:11,21:13:11,09/02/20 21:13:11,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:07:12,21:13:11,09/02/20 21:13:11,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:07:17,21:13:17,09/02/20 21:13:17,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:07:22,21:13:22,09/02/20 21:13:22,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:07:24,21:13:24,09/02/20 21:13:24,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
Fall,2020,thrush,,MSGR,09/02/20,21:06:00,7:27:00,0:07:27,21:13:26,09/02/20 21:13:26,21:00:00,,09/02/20 19:37:32,09/02/20 20:06:20,09/02/20 20:40:41,09/02/20 21:16:40,09/03/20 04:54:35,09/03/20 05:30:35,09/03/20 06:04:58,09/03/20 06:33:47,8.7,99.2
